MMSI
0
2
9
33
41
48
52
121
123
218
294
789
2726
3134
4097
4598
7551
8765
9595
10238
11232
11798
12321
12346
12610
19659
26968
32023
35896
47810
57311
57651
58358
58677
59162
60204
61439
65279
65504
65664
68902
76088
81492
85023
88042
90078
103163
123462
150915
151504
190614
190615
190620
190715
204211
209409
209486
255166
285166
292184
313066
327913
400278
402055
404408
404426
419907
428823
435518
439888
442309
455517
455531
465101
467840
489670
489672
489673
489677
489684
503180
504426
509486
513603
515006
519354
524288
530801
530803
536707
548702
548708
605059
609486
609673
620503
620567
620630
620699
620751
629537
629539
632516
641754
654328
658753
658757
667852
688603
688607
704817
705905
709486
804213
804768
814903
814904
814905
814906
881728
903180
904485
912322
912683
1004589
1104059
1104280
1104426
1115280
1128108
1132101
1132102
1153503
1197811
1203163
1204081
1204299
1204426
1215206
1304281
1304489
1378008
1404388
1404426
1851613
1886625
2032881
2104090
2128907
2128948
2151510
2159626
2159628
2159725
2304839
2527844
2555063
2564975
2596019
2596027
2596028
2604889
2678231
2678232
2678233
2678234
2678235
2678236
2678237
2678238
2777723
2804889
2930005
3107722
3209510
3689632
3860005
4010203
4121026
4126617
4131865
4132102
4132107
4132381
4132388
4132389
4132396
4132431
4132518
4132611
4132682
4180718
4194304
4259015
4259017
4264262
4311007
4378028
4403320
4403702
4403703
4403705
4403707
4406300
4426234
4501221
4614002
4618734
4680001
4680031
4690001
4690004
4738079
4802046
4802101
4807052
4854001
4865001
4896037
4933306
5066408
5150007
5329004
5510002
5583012
5660020
5660024
5660026
5660028
5660031
5660035
5660037
5666281
5830015
5830019
5830020
5830029
5979007
6004701
6004704
6004706
6004802
6051524
6058010
6068001
6068003
6068004
6068005
6068006
6068007
6086007
6090003
6090005
6090013
6090015
6090016
6090017
6090018
6090019
6090020
6103907
6280104
6331720
6331722
6331724
6355001
6582701
6582703
6582706
6582712
6582716
6582718
6633045
6850116
6852004
6853617
6895002
6898001
7001801
7001802
7001807
7004306
7004313
7004501
7005803
7005807
7600810
7653291
7729004
7729006
7729007
7729008
7729009
7729010
8055814
8073718
8186008
8680006
8680020
8680023
8702408
8800260
8803060
8803062
8803069
8804022
8804087
8804111
8804233
8804388
8804496
8804498
8804698
8804799
8804890
8804998
8805136
8805176
8805198
8805578
8805599
8805759
8806086
8815086
8866233
8867099
8868888
9020323
9020359
9020379
9020395
9020432
9020458
9020515
9020543
9020547
9020661
9020774
9020793
9020826
9021055
9021078
9021123
9021124
9021262
9021327
9021353
9021377
9021382
9021392
9021452
9021571
9021780
9021943
9021991
9022040
9022119
9022207
9022271
9022432
9022585
9022614
9022623
9022792
9022812
9022861
9022880
9022886
9022926
9050059
9380039
9391326
9399298
9553056
9705984
9790028
9811313
9898988
9990001
10000003
10000007
10000009
10000011
10000012
10000013
10000014
10000016
10000018
10000021
10000023
10000024
10000025
10001003
10001005
10001006
10001007
10001008
10001034
10001037
10001047
10001048
10001049
10001054
10001063
10001065
10001067
10011111
10015091
10023311
10046731
10061160
10068574
10068579
10088913
10101207
10111816
10112256
10112257
10112260
10112262
10116973
10120801
10120803
10120804
10120805
10120806
10120807
10120808
10120809
10120810
10123349
10123401
10123403
10160016
10168316
10181606
10201666
10212311
10212313
10212315
10212316
10218123
10219204
10229006
10229608
10229609
10238308
10239810
10252411
10269262
10270132
10271906
10271908
10271909
10286802
10288293
10288300
10290941
10297780
10321453
10361753
10366001
10366002
10366003
10404507
10422801
10422809
10422817
10422819
10422822
10422823
10422824
10422826
10429002
10429003
10429006
10429007
10429009
10429010
10430201
10430202
10430204
10430205
10430208
10430209
10430211
10430213
10430215
10430216
10430218
10430219
10430220
10430221
10430222
10430223
10430224
10430225
10430226
10430227
10430229
10430230
10432281
10437719
10437720
10437722
10437725
10437728
10437730
10437732
10437733
10465930
10467313
10467323
10469402
10481620
10521931
10528408
10528409
10532903
10532908
10544202
10544208
10544808
10544901
10544903
10546102
10546603
10546604
10546605
10546607
10573111
10602536
10620119
